id,candidate,sentiment,subject_matter,original_text,processed_text,text_length,word_count,hashtag_count,mention_count,contains_url,is_retweet
13437,No candidate mentioned,Negative,None of the above,One topic the #GOPDebates won't touch tonight: police brutality in the U.S.  Keep slingin' that mud on Hillary fellas,one topic wont touch tonight police brutality keep slingin mud hillary fella,117,19,1,0,0,0
8622,No candidate mentioned,Negative,FOX News or Moderators,RT @Desdemona4U: It was unfathomable that @megynkelly would ask Wasserman-Schultz to do a postmortem on the #GOPDebates. #SURREAL https://t…,unfathomable would ask wassermanschultz postmoem,140,19,2,2,1,1
2603,Scott Walker,Negative,Abortion,"RT @StevenSinger3: #BATSask if Scott Walker's ""Pro-life"" stance covers school kids, too? http://t.co/39ZRoENv9K #GOPDebate",scott walker prolife stance cover school kid,122,14,2,1,1,1
8717,No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates,posed adult picturesshould bring,106,14,2,2,0,1
12278,Jeb Bush,Negative,None of the above,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,jeb bush reminds elevator music hear dont listen,117,19,2,1,0,1
9511,Donald Trump,Negative,None of the above,"RT @Apathycase: So, Trump buys politicians, used bankruptcy to his advantage, skirted laws for money, and admitted to wanting single payer …",trump buy politician used bankruptcy advantage skied law money admitted wanting single payer,140,22,0,1,0,1
6564,Jeb Bush,Negative,FOX News or Moderators,RT @LotusTom: FOX news last night revealed themselves to what many of us already knew they were: Bush apologists. #GOPDebate,fox news last night revealed many already knew bush apologist,124,20,1,1,0,1
12113,Jeb Bush,Negative,None of the above,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,jeb bush reminds elevator music hear dont listen,117,19,2,1,0,1
8651,No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates,posed adult picturesshould bring,106,14,2,2,0,1
6334,Scott Walker,Negative,Abortion,Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badgersbane @amyjofox,scott walker aboion ban allows rapist father sue emotional distress,135,16,1,2,1,0
