id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone,original_text,text_length,word_count,hashtag_count,mention_count,contains_url,is_retweet,processed_text,processed_length,processed_word_count,tweet_datetime,tweet_hour,tweet_day,tweet_month,tweet_year,tweet_dayofweek,tweet_is_weekend
13437,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,alfacharliekilo,,0,,,One topic the #GOPDebates won't touch tonight: police brutality in the U.S.  Keep slingin' that mud on Hillary fellas,,2015-08-06 19:04:28 -0700,629473150988783616,"Houston, TX",,One topic the #GOPDebates won't touch tonight: police brutality in the U.S.  Keep slingin' that mud on Hillary fellas,117,19,1,0,0,0,one topic wont touch tonight police brutality keep slingin mud hillary fella,76,12,2015-08-06 19:04:28-07:00,19,6,8,2015,3,0
8622,No candidate mentioned,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,1.0,,punditOcrat,,26,,,RT @Desdemona4U: It was unfathomable that @megynkelly would ask Wasserman-Schultz to do a postmortem on the #GOPDebates. #SURREAL https://t…,,2015-08-06 23:11:01 -0700,629535193645232128,"San Antonio,Republic of Texas ",Central Time (US & Canada),RT @Desdemona4U: It was unfathomable that @megynkelly would ask Wasserman-Schultz to do a postmortem on the #GOPDebates. #SURREAL https://t…,140,19,2,2,1,1,unfathomable would ask wassermanschultz postmoem,48,5,2015-08-06 23:11:01-07:00,23,6,8,2015,3,0
2603,Scott Walker,1.0,yes,1.0,Negative,1.0,Abortion,0.6629999999999999,,RefuseOfCuyahog,,27,,,"RT @StevenSinger3: #BATSask if Scott Walker's ""Pro-life"" stance covers school kids, too? http://t.co/39ZRoENv9K #GOPDebate",,2015-08-07 09:28:56 -0700,629690700486049792,"Cleveland, OH",,"RT @StevenSinger3: #BATSask if Scott Walker's ""Pro-life"" stance covers school kids, too? http://t.co/39ZRoENv9K #GOPDebate",122,14,2,1,1,1,scott walker prolife stance cover school kid,44,7,2015-08-07 09:28:56-07:00,9,7,8,2015,4,0
8717,No candidate mentioned,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,1.0,,michaelyagoda,,116,,,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates,,2015-08-06 22:32:22 -0700,629525469109616641,THE BRONX,Eastern Time (US & Canada),RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates,106,14,2,2,0,1,posed adult picturesshould bring,32,4,2015-08-06 22:32:22-07:00,22,6,8,2015,3,0
12278,Jeb Bush,0.4444,yes,0.6667,Negative,0.6667,None of the above,0.4444,,afoulk27,,172,,,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,,2015-08-06 19:23:53 -0700,629478035977306112,god forsaken Cincinnati,,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,117,19,2,1,0,1,jeb bush reminds elevator music hear dont listen,48,8,2015-08-06 19:23:53-07:00,19,6,8,2015,3,0
9511,Donald Trump,1.0,yes,1.0,Negative,1.0,None of the above,0.6552,,Jdailey42,,11,,,"RT @Apathycase: So, Trump buys politicians, used bankruptcy to his advantage, skirted laws for money, and admitted to wanting single payer …",,2015-08-06 20:22:20 -0700,629492747116879872,,,"RT @Apathycase: So, Trump buys politicians, used bankruptcy to his advantage, skirted laws for money, and admitted to wanting single payer …",140,22,0,1,0,1,trump buy politician used bankruptcy advantage skied law money admitted wanting single payer,92,13,2015-08-06 20:22:20-07:00,20,6,8,2015,3,0
6564,Jeb Bush,0.6854,yes,1.0,Negative,1.0,FOX News or Moderators,1.0,,DougAdamavich,,1,,,RT @LotusTom: FOX news last night revealed themselves to what many of us already knew they were: Bush apologists. #GOPDebate,,2015-08-07 08:18:14 -0700,629672909192101888,"Mesa, AZ",Arizona,RT @LotusTom: FOX news last night revealed themselves to what many of us already knew they were: Bush apologists. #GOPDebate,124,20,1,1,0,1,fox news last night revealed many already knew bush apologist,61,10,2015-08-07 08:18:14-07:00,8,7,8,2015,4,0
12113,Jeb Bush,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,f77a9c24c7f9451,,172,,,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,,2015-08-06 19:26:04 -0700,629478585917669376,,,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,117,19,2,1,0,1,jeb bush reminds elevator music hear dont listen,48,8,2015-08-06 19:26:04-07:00,19,6,8,2015,3,0
8651,No candidate mentioned,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,1.0,,epadgen,,116,,,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates,,2015-08-06 22:59:34 -0700,629532314431651840,,,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates,106,14,2,2,0,1,posed adult picturesshould bring,32,4,2015-08-06 22:59:34-07:00,22,6,8,2015,3,0
6334,Scott Walker,1.0,yes,1.0,Negative,0.6809,Abortion,1.0,,TheBaxterBean,,14,,,Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badgersbane @amyjofox,,2015-08-07 08:21:38 -0700,629673764930895872,lux et veritas,Eastern Time (US & Canada),Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badgersbane @amyjofox,135,16,1,2,1,0,scott walker aboion ban allows rapist father sue emotional distress,67,10,2015-08-07 08:21:38-07:00,8,7,8,2015,4,0
